à		Vit, I, E
nhái bén		Nc, Ng


thung dung		Aa
lèm bèm		Aa
kheo		Nc, Ng, Aa
hồng thuỷ		Nc
mỹ nghệ phẩm		Nc, Ng
tiết hạnh		Na

nói đớt		Vit
lợi điểm		Na

trẻ trung		Aa
ốm đau		Vit, Aa
đèn ống		Nc, Ng
hắc điếm		Nc
khoáng đạt		Aa
thống kê học		Na

xét soi		Vt
GDP		Np

trưa trật		Aa
ỏn à ỏn ẻn		Aa
lọm cọm		Aa
đa khoa		Aa
kê kích		Vt
mô hình hoá		Vt
trống mái		Vit

rộn rã		Aa
máy cái		Nc, Ng

quanh quất		Na, Aa
quýnh quáng		Aa
e-mail		Np
điền chủ		Nc, Ng
kênh kiệu		Vit



rì rào		Aa

truyện vừa		Nc, Ng
quét quáy		Vit
nấc cụt		Vit
ê-tô		Np
long lanh		Aa
kháu khỉnh		Aa
thấp cổ bé họng		X

sờ sẫm		Vt
làm đồng		Vit
phúng dụ		Na
tục truyền		Vt
sương muối		Nc, Ng
hỉ tín		Na
dối dăng		Vit
hừng hực		Aa
ong bắp cày		Nc, Ng
thư tịch		Nc, Ng

thú vị		Vit, Aa
thăng		Na, Vit

than luyện cốc		Nc, Ng
nấm mốc		Nc, Ng
lấc xấc		Aa
hí hước		Vit
lôi long		Nc, Ng
phong hoá		Vit
trống bồng		Nc 
ra mặt		Vt
kiện cáo		Vt
khó lòng		Aa
tiền tuyến		Na
thuyền mành		Nc, Ng
dược mạ		Nc
cốt khí		Nc
hải cảng		Nc
ngôn ngữ học		Na
xiêu bạt		Vit
thuyết luân hồi		Na
tréo		Aa
bú		Vit

trần duyên		Na
thoả nguyện		Vit
kín đáo		Aa
đinh đỉa		Nc, Ng
khuất khúc		Aa
phốt-pho		Np
xập xình		Aa

mao mạch		Nc, Ng
nhắn gửi		Vt

trung trực		Na, Aa
lí láu		Jd
đánh bạn		Vt
hội chẩn		Vit
nhấp nháy		Vit
tốt ngày		Aa


cú		Nc, Nu, Vt


sung sướng		Aa
fe-rít		Np
hảo hán		Ng
khiếp		Vitim, Aa
ngày công		Na
tung hô		Vit

mẫm mạp		Aa
lơ đãng		Vit, Aa

tàu khu trục		Nc, Ng
mật mã		Nc, Ng
củi lụt		Nc, Ng
cứng cáp		Aa
nghèo túng		Aa
phân phát		Vt


dù		Nc, Ng, Cc
nãy giờ		Pd

thượng quan		Na
loạt		Nu
đứng đắn		Aa
giới đàn		Nc
sông ngòi		Nc, Ng
tiên nho		Na

nhà lầu		Nc, Ng
độ		Nu, Vt

xuất trình		Vt
máu lửa		Nc, Ng
cuồng		Aa
decibel		Np
liên minh		Nc, Ng, Vt
ringgit		Np
tránh vỏ dưa gặp vỏ dừa		X

thợ đấu		Nc, Ng
kiêu bạc		Vit, Aa

tàu con thoi		Nc, Ng
lượn		Na, Vit
đau khổ		Aa
hất hủi		Vt
nghiền ngẫm		Vt
liêm phóng		Nc, Ng

tía tô		Nc, Ng
li tâm		Vit

vô thần luận		Na
nuốm		Nc
diễn đàn		Nc, Ng
dây mực		Nc, Ng
ngọ nguậy		Vit
tênh hênh		Aa
tiểu phẩm		Nc, Ng
thuyết đô-mi-nô		Na
thứ năm		Na
nghĩa đen		Na

truy xét		Vt
toàn		Nn, Aa, Jd
đặc trị		Aa
đối chất		Vit
hâm hấp		Aa
võng vãnh		Aa
trại tập trung		Nc, Ng

nhòm nhỏ		Vt
gụ		Nc, Ng, Aa
thuồn thuỗn		Aa
trắng trơn		Aa
lẫm lẫm		Aa
đạo Phật		Na
nảy sinh		Vtb
ngây ngất		Aa
thế giới thứ ba		Na

to tổ bố		An
máy bộ đàm		Nc, Ng


thượng nguồn		Nc, Ng
guột		Nc
đò ngang		Nc, Ng
hình hài		Ng
riêng biệt		Aa


nhân từ		Aa
hệ		Na

tranh thuỷ mạc		Nc, Ng
niềm nở		Aa
đá vàng		Nc, Ng
hồng đào		Aa
nghi tiết		Na
vinh diệu		Na, Aa
tiền lương thực tế		Na
tạo tác		Vt
kỳ quái		Aa
phúc hậu		Aa
tàu thuyền		Nc, Ng
tam khoanh tứ đốm		X
kỵ nước		Aa
guồng		Nc, Vt
khán giả		Nc, Ng
nhà chức trách		Nc, Ng


nhất mực		Jd
hứa		Vt

tuyên huấn		Vit
mìn lõm		Nc, Ng
du lịch		Vit
đêm đêm		Jt
lưỡng thê		Nc, Ng
tính giai cấp		Na
trung nguyên		Na
trĩu		Aa
nhảy múa		Vit
lủi thủi		Jd

thấu tình đạt lý		X
mắt cáo		Nc, Ng
động tác		Ng
giống má		Nc, Ng
phu phen		Nc, Ng
trường kỳ		Aa

than bùn		Nc, Ng
kỉ		Na


trực thăng vận		Vit
ký tên		Vit
hưng		Aa
không vận		Vit
ngồi chưa ấm chỗ		X
tôn sư trọng đạo		Vit

nhân vị		Aa
loạc choạc		Aa
trận tuyến		Nc, Ng
xuất xưởng		Vt
lục vấn		Vt
độc nhất		Aa
động mạch		Nc, Ng
ớt chỉ thiên		Nc, Ng
ung thư		Nc, Ng

vũ trụ		Na
lé		Vit, Aa
thi hào		Nc, Ng
tự sản tự tiêu		X
tiềm lực quân sự		Na
leone		Np
dọc ngang		Nl
khai hoá		Vt
tranh khắc gỗ		Nc, Ng
xoài voi		Nc, Ng

nhất đán		Jt, Jr
ngoại cảm		Na

tương quan		Aa
mưa dầm		Nc, Ng
điều mục		Na
hát bóng		Vit
ngoài trời		X

truy nguyên		Vt

lũa		Aa
chỗ		Nc, Ng


mọt dân		Na
đèn hoa kì		Nc, Ng
hiệp sĩ		Ng
nghìn nghịt		Aa
triều cống		Vit

quý báu		Aa
lính thú		Nc, Ng


mua sỉ		Vit
đánh dấu		Vt
dây nói		Nc, Ng
linh miêu		Nc
tổng bãi công		Vit


múa		Nc, Ng, Vit
củi		Nc, Ng

thư tín điện tử		Nc, Ng
rạn vỡ		Vit
ferit		Np
đôm đốp		Aa
nguệch ngoạc		Aa
rỗng không		Aa

tèm lem		Aa
nhận định		Na, Vt
thái bình		Aa
tuyệt luân		Aa
tráo trưng		Vit, Aa
ít lâu		Na
chuối lá		Nc, Ng
hý hoáy		Vt
khởi xướng		Vt
trái tính trái nết		Aa

từ vựng		Na
dùi		Nc, Vt

trước thuật		Vit
vận số		Na
kỷ yếu		Nc, Ng
đốn kiếp		Aa
khởi động		Vt
thông hành		Na
vắng tanh vắng ngắt		Aa
xoa dịu		Vt
nhắn nhe		Vt
đỗi		Nu

tham sinh uý tử		Vit
miễn tố		Vit
di táng		Vit
hay ho		Aa
ngày sinh		Na
tuổi tây		Na


lắc		Nc, Vit
thầy bói		Nc, Ng

siêu lợi nhuận		Na
nhà đoan		Nc, Ng
ghen tị		Vitim
góc ngoài		Nc, Ng
quốc dân đại hội		Nc, Ng

vất vả		Aa
nội nhật		Na
nhà ngang		Nc, Ng
trung tuần		Na

mặt cắt		Nc, Ng
hỗn mang		Aa
khoáy		Nc, Ng
lương đống		Nc, Ng
trống phách		Nc, Ng


cắm		Vt
fizê		Vit

ưu thời mẫn thế		Vit
lắt lẻo		Aa
điền thổ		Nc, Ng
khả thi		Aa
pô pơ lin		Np


thầm lén		Aa
máng xối		Nc, Ng
giỗ		Na, Vt

sức mua		Na
kết dính		Vit
heo hắt		Aa
riêng tư		Aa
photpho		Np


dặm		Nu
phao câu		Nc, Ng

trẻ người non dạ		X
một lèo		Na, Jd
gau gáu		Aa
hải khẩu		Ng
phách lối		Vit


tuổi bền		Na
địa lí		Na
hãi		Vt, Vim, Vtim

vần vè		Aa
kim lan		Na
gia sư		Nc
nghênh		Vt
trôi chảy		Aa
ước số chung		Na

dún		Vt
ngày mai		Nl

trúng tuyển		Vit
mên mến		Vt, Vim, Vtim
glucoza		Np
hiềm thù		Na, Vit
phế binh		Nc, Ng


xúc tu		Nc, Ng
đón		Vt
khẽ		Aa

tủn mủn		Aa
lớn mạnh		Vit
gia tư		Na
gông cùm		Nc, Ng
súng khai hậu		Nc, Ng

xương quai xanh		Nc, Ng
triều		Nc, Ng
đăm		Aa
xếp hàng		Vit
tổng tham mưu		Nc, Ng
tàn dư		Na
hoàn tục		Vit
đivăng		Nc, Ng
hiệp biện		Na
thường phục		Nc, Ng


ồ ạt		Aa
gậm		Nc, Vt

ưu trương		Aa
mưu đồ		Na, Vt
hoen rỉ		Aa
giai đoạn		Na
thủng thỉnh		Aa


trẻ con		Nc, Ng, Aa
măng tô		Nc, Ng
sóng đôi		Vit

thuyền viên		Nc, Ng
kẻ trộm		Nc, Ng
heo vòi		Nc
khí hậu học		Na
ngượng ngập		Aa
tô son trát phấn		Vit

thôn nữ		Nc, Ng
gán		Vt
hạch		Na

trọng trường		Na
lèo nhèo		Vt, Aa
hội thao		Nc, Ng
nghịch đảo		Na, Aa
tây riêng		Aa


quân báo		Nc, Ng
găm		Nc, Vt

truyền nhiễm		Vt
loạn sắc		Aa
điểm nóng		Na
hoa hiên		Nc, Ng
thấy tháng		Vit
thực dụng chủ nghĩa		Na, Aa

vòi nước		Nc, Ng
hằn		Nc, Vt
gia cụ		Nc, Ng

tỳ vết		Nc, Ng
léo xéo		Vit
gieo cầu		Vit
nghèo khó		Aa
niêm phong		Vt

vân mẫu		Na
nhộn nhạo		Vit, Aa
hoá		Na, Vtb, Aa

thuế doanh thu		Na
lợt lạt		Aa
đại danh từ		Na
học sinh		Nc, Ng
ngông cuồng		Aa



cổ sử		Nc, Ng
hởi dạ		Vitim


nhân mãn		Na
hình bầu dục		Nc
phù hiệu		Nc, Ng
thông hiếu		Vt


tâm trí		Na
lốc cốc		Aa


nước mắm		Nc, Ng
huỷ diệt		Vt
hết chỗ nói		X
phao phí		Vt
xử quyết		Vt


do dự		Vit
chí lý		Aa


mo rát		Nc, Ng
khâu vá		Vt
khe khắt		Aa
prô-tông		Np


tô-tem		Np
kẻo		Vt, Cc
hợp		Ng, Vt, Aa

mít mật		Nc, Ng
làn sóng		Nc, Ng
hiền lành		Aa
lếch thếch		Aa
tia hồng ngoại		Nc, Ng


dứt		Vt
chằm		Nc, Vt

vô tuyến điện		Nc, Ng
son sẻ		Aa
hậu hoạn		Na
gương		Nc, Ng
penicillin		Np

trầy vi tróc vảy		X
tuổi tác		Na
đọt		Nc
phìa		Nc, Ng

trấn an		Vt
mất mạng		Vit
diễu hành		Vit
lỏng chỏng		Aa
thổ nhưỡng học		Na
xuất quỉ nhập thần		Vit

mạn		Nc, Nl
chặn		Vt
ố		Aa
thất truyền		Vit
vịt bầu		Nc, Ng
keo tơ		Nc, Ng
hợp doanh		Vit
ống phóng		Nc


vi vu		Aa
loa		Nc, Ng, Vt, Aa
đặng		Vt, Ja, Cm
giủi		Vt

nến đánh lửa		Nc, Ng
đường đạn		Nc, Ng
hoang hoá		Aa
thiên đường		Na


nắn		Vt
làm bộ		Vit
xinh đẹp		Aa

ton tả		Aa
lắt lay		Vit, Aa
giấy nến		Nc, Ng
phân lập		Vit
tổng kim ngạch		Na


nèo		Vt
đĩnh		Nu
học đòi		Vt

nhắn tìm		Vt
làm thân		Vt
khôn lỏi		Aa
phòng hoả		Vit
ỷ lại		Vit


kề cận		An


trần trùi trụi		Aa
mở toang		Vt
giảm sút		Vt
khốn kiếp		Aa
thông minh		Aa


tôn ti		Na
đực rựa		Aa
gọng		Nc

quốc nạn		Na
lâu lâu		Jr
hồi hưu		Vit
nhà hát nhân dân		Nc, Ng
rực		Aa

vải thưa che mắt thánh		X
mỹ cảm		Na
đá hoa		Nc, Ng

truyền thanh		Vit
mềm yếu		Aa
ê-mê-tin		Np
khen ngợi		Vt
phê phán		Vt
vô cớ		Aa


huề		Aa
giầm		Vt

vật lí khí quyển		Na
luồn lách		Vit
lỗ châu mai		Nc, Ng
súng ngựa trời		Nc, Ng
mụ		Nc, Vit, Aa
vi ti huyết quản		Na

tá tràng		Nc, Ng
rông đen		Np
phụ đề		Na
vừa ăn cướp vừa la làng		X
quạt lúa		Nc, Ng
lêu bêu		Aa
hoãn binh		Vit
nghị trường		Nc, Ng
từ hàn		Na


kẹt		Vit, Aa
giần		Nc, Ng, Vt
vạch áo cho người xem lưng		X
trình soạn thảo		Nc, Ng
nhẫn nhịn		Vit
làm lông		Vt
ngoại động		Aa
thương ôi		E


say xỉn		X
cửa biển		Nc, Ng
giăm		Nc
TTS		X
quần tụ		Vit
hữu tính		Na
giật mình		Vit
sơn hào hải vị		Nc, Ng



lè tè		An
điền bộ		Nc
kỉ hà học		Na

tẩy oan		Vit
khôn lớn		Aa
phẩm loại		Aa
thông tri		Na, Vt


xuyến		Na
êcu		Np
hấy		Aa
tuyến nội tiết		Nc, Ng
sầm uất		Aa
leo teo		An
hành doanh		Nc
lựng khựng		Aa



lu		Nc, Ng, Aa
chí tử		Aa


toà sen		Nc, Ng
mảy may		Na
mĩ từ pháp		Na
tiểu đăng khoa		Vit


tuỳ táng		Aa
kỳ vĩ		Aa, An
hoai		Aa
hì hụp		Vit
tuý luý		Aa
né tránh		Vt
hiền thần		Ng
nông phố		Na



mậu		Na
dễ thở		Aa
chừng		Na, Vit, Jd

tao loạn		Vit
kimono		Nc, Ng
hồn nhiên		Aa
không bờ bến		Aa



oắt		Nc, Ng, Aa
gom		Vt
phòi		Vt
tuấn tú		Aa
mưu cơ		Na
kinh tởm		Vt, Vim, Vtim, Aa
khạng nạng		Aa
xin đi đằng đầu		X


nếu		Cc
im ỉm		Aa
đánh bạc		Vit
Wh		X
võ quan		Nc, Ng
nước máy		Nc, Ng
ki-mô-nô		Np
nghiêm cấm		Vt
vương phi		Nc, Ng


rotor		Np
đi-ốt		Nc
hề đồng		Ng

muối mặt		Vit
kim tiền		Na
giảng văn		Vit
xe cơ giới		Nc, Ng
rớ		Nc, Ng, Vt


lạ lẫm		Vit, Aa
đắc dụng		Aa
xải		Na

mất toi		Vit
lòng vòng		Aa
nhảy dây		Vit
phong vũ biểu		Nc, Ng


vam		Nc, Ng
hoa mĩ		Aa
giả sử		Vt, Cc
khí gió		Nc, Ng
tằn tiện		Vit
ma-nhe-tô		Np
nguỵ binh		Nc, Ng
tải thương		Vit
sọ		Nc, Ng


lá mầm		Nc, Ng
cống lễ		Nc, Ng


patent		Np
khít rịt		An
nhân công		Nc, Ng
tiền hô hậu ủng		X
võ biền		Na


nãy		Pd
đùa giỡn		Vit
phếch		Aa
tư vấn		Vit
mầu nhiệm		Aa
linh đơn		Nc, Ng
nghiệp vụ		Na
tợ		Vt


nát óc		Vit
dịch tả		Nc, Ng
ho he		Vit

rượu cần		Nc, Ng
khiếu oan		Vit
hải trình		Na
nghiệm đúng		Vit



quá		Vt, Jd
đỏ lựng		Aa
giằng		Nc, Vt
vấn vít		Vit
niềm tin		Na
mồng tơi		Nc, Ng
ngoại khoa		Na
tiếp giáp		Vt
lồi		Aa, An

nỏ mồm		Vit
dầu hắc		Nc, Ng
đài hoa		Nc, Ng
ì à ì ạch		Aa
tiền vận		Na
mẫu tây		Nu
hung thủ		Nc, Ng
ngập ngừng		Vit
trúng phong		Vit


méo mó		Aa
đăm đăm		Aa
giờ hồn		Vit

than nâu		Nc, Ng
lo lường		Vt
khoẻ khoắn		Aa
tương thích		Aa
lừng		Vit

vui nhộn		Aa
lêu		E
khoe		Vt

văn vật		Na
lưu dụng		Vit
kiến tạo học		Na
ngã đồng kềnh		Vit
thượng nghị sĩ		Nc, Ng
xử thử		Na

rau		Nc, Ng
để tâm		Vt
hẳn hòi		Aa

toà soạn		Nc, Ng
lưu động		Vit
khẩu độ tỉ đối		Na
thương tiếc		Vt, Vim, Vtim
nới		Vt


lồm cồm		Aa
đá ong		Nc, Ng
lách cách		Aa

ngon mắt		Aa
nhà bảo sanh		Nc, Ng
khin khít		An
thượng thặng		Aa


táu		Nc, Ng
ga men		Np
điển chế		Na, Vt

GNP		Np
nông sản		Nc, Ng
khiêm tốn		Aa
phong hàn		Na
nai		Nc, Ng, Vt


nêu		Nc, Vt
êtô		Np
phế bào		Na

mưu mô		Na, Vt
miếu hiệu		Nc, Ng
lông măng		Nc, Ng
thông gia		Nc, Ng



hỷ tín		Na
đa thê		Aa
hứng chí		Aa
úa		Vit
quạt kéo		Nc, Ng
khoai nước		Nc, Ng
ngữ ngôn học		Na
mồ mả		Nc, Ng
liếc		Vt

ơn ớn		Vt
lâm bồn		Vit
hý hước		Vit

rau muối		Nc, Ng
ngựa trâu		Nc, Ng
khuấy đảo		Vt
thầy giáo		Nc, Ng
vú bõ		Nc, Ng


đàn bầu		Nc, Ng
cùm kẹp		Vit
hang hốc		Ng
vẹn toàn		Aa
tiêu mòn		Vt
ngất ngư		Aa
phân vùng		Vt
ý tại ngôn ngoại		X
gỗ dán		Nc, Ng

vầu		Na
lăm le		Vtv
đồi thị		Na

ưu tư		Vit
liều liệu		Vit
kính yêu		Vt
ngoại công		Na
tương phùng		Vit
tương quan lực lượng		Na

lợn sề		Nc, Ng
đạo Cao Đài		Na
hông		Nc, Ja

bụ		Aa
long vân		Na
nghiên cứu		Vt
phất phơ		Vit, Aa
xộc		Vit


fuy		Np
hảo hớn		Ng
lập giá		Na

nông vận		Vit
nguội lạnh		Aa
thân thích		Nc, Ng
trố		Vt, Aa
rải		Vt

mịt mờ		Aa
cúng tế		Vt
danh giá		Na, Aa

cụ		Nc
ngày sau		Nl
linh hoạt		Aa
sinh hoá học		Na



loét		Vit
đứng số		Aa
gọt giũa		Vt
tiểu đoàn trưởng		Nc, Ng
thuốc men		Nc, Ng
nguyên		Na, Aa, Jd
ngơm ngớp		Vit
phập phều		Vit
sắc độ		Na

máu mủ		Nc, Ng
cuống		Nc, Aa
dịch thể		Nc, Ng

dụ		Nc, Vt
quả thật		Jd
ngoại quốc		Nc, Ng
vi-đê-ô cát-xét		Np

vụng dại		Aa

mạo từ		Na
đâm đầu		Vit
hi hút		Vit

đờ		Aa
nín thinh		Vit
lòng sông		Nc, Ng
thực vật bậc thấp		Nc, Ng
thìa		Nc, Ng
nghé		Nc, Ng, Vt
nứt nẻ		Vit
dinar		Np
di thực		Vit
hùm		Nc, Ng

nhất loạt		Jd
ngay tình		Aa
ngoài miệng		X
thực nghiệp		Na
vang dội		Vit

toán		Na
đất nhẹ		Nc, Ng
đồng áng		Nc, Ng
hâm hấp		Aa
thèm muốn		Na, Vt
nhảy vọt		Vit
nhân sinh		Na
song phi		Vit
thế mà		Cc
ngòi		Nc, Ng

lí sự cùn		Vit
đầy đặn		Aa
mĩ đức		Na

quần soóc		Nc, Ng
phàm trần		Na
nguy kịch		Aa
vật chướng ngại		Nc, Ng


vợ mọn		Nc, Ng
hà tất		Ja
đoạ đày		Vt
hùng khí		Na
vòng nguyệt quế		Nc, Ng
gừ		Vit
quấy rối		Vt
nhất hô bá ứng		X
rỡn		Vit
nhúi		Vt

nở nang		Aa
đại táo		Na
khí hư		Nc, Ng
phì phà		Vt
quẫn trí		Aa
nước thánh		Nc, Ng
măng đô lin		Nc, Ng
tông phái		Nc, Ng
vội		Aa


lăm lẳm		Aa
hạ tằng		Np
khánh hạ		Vt

hệ SE		Na
nhân viên		Nc, Ng
quy chụp		Vit
sấn		Na, Vit, Aa
khàn		Aa

móm mém		Aa
định vị		Vt
địa hoàng		Nc
sụ		Aa
tiết tấu		Na
quen biết		Vt
mồ yên mả đẹp		X
nhiệt động học		Na



mật đàm		Vt
đuôi		Nc, Ng
hài lòng		Vt, Vim, Vtim

í ới		Aa
nói xa nói gần		Vit
pháo xiết		Nc, Ng
thân thương		Aa
lính		Nc, Ng


làm lơ		Vit
hường		Nc, Aa
deci-		Np

tám mươi		Nn
ngạch trật		Na
trung hưng		Vit

yểng		Nc, Ng

lựu đạn		Nc, Ng
độc thần		Aa
đơn giá		Nc

kĩ		Aa
nhão nhoẹt		Aa
ngũ thường		Na

ngón		Nc, Ng


loa loá		Vit, Aa
dùng dằng		Vit
dị hờm		Aa
ngã		Na, Vit
nốt trắng		Nc, Ng
nấm hương		Nc, Ng
ngọng nghịu		Aa
xiphông		Np
sáp		Nc, Ng

nấm mèo		Nc, Ng
đình cứu		Vit
hình ảnh		Ng
lễ đài		Nc, Ng
lẹ		Aa
quyến rũ		Vt
luật pháp		Nc, Ng
vũ khí vi trùng		Nc, Ng
nhún		Vit
thợ bạc		Nc, Ng

oa trữ		Vt
đèn hoa kỳ		Nc, Ng
hình hoạ		Ng
nhé		I
quán tính		Na
nhiệt thán		Na
nhà đương cục		Nc, Ng
tinh nghịch		Aa
tắp		Vit, Jd

muốt		Aa
đào tạo		Vt
dịch hoàn		Nc, Ng
lấp		Vt
lúa		Nc, Ng
chộ		Vt
ngoại tiết		Aa
lí liệu pháp		Na
xắn		Vt
nhô		Vit, Vt

sao sa		Nc, Ng
gót đầu		Na
đốp chát		Vit
sở cứ		Na
rau muống		Nc 
thứ dân viện		Na
nghiến ngấu		Aa
thời khắc biểu		Na
trổi		Aa
phím		Nc, Ng
tuốn		Vit
kết tóc		Vit
chuồng		Nc, Ng
khổ chiến		Vit
mửa		Vit
cũi		Nc, Ng, Vt
thanh vắng		Aa
ngoại thành		Nc, Ng

vĩ đại		Aa


kyat		Nu
đồng điền		Ng
nghiệp		Na
oẹ		Vit
proton		Np
nông choẹt		An
thông gian		Vit
sồ sề		Aa
phấn		Nc, Ng

một mai		Na
dự thính		Vit
hiđro		Np
họng		Nc, Ng
dũi		Vt
ngoan cường		Aa
lưỡng chiết		Vit, Aa
vô chính phủ		Aa
vập		Vt

vừa mắt		Aa
nhỏ to		Vit
giản ước		Vit
gối xếp		Nc, Ng
ngục		Nc, Ng
đối		Vt, Cc
kỷ nguyên		Nc, Ng
pôpơlin		Np
tín đồ		Nc, Ng
ngoạc		Vt

mầu sắc		Nc, Ng
ki-nin		Np
lách tách		Aa
hý hởn		Vt, Vim, Vtim, Aa
lò cò		Vit
quý trọng		Vt
thiếu thời		Na
viôlôngxen		Np



lắt léo		Aa
điện thế		Na
khem khổ		Aa
nhạc		Nc, Ng
sơn thuỷ		Nc, Ng
muông thú		Ng
thả mồi bắt bóng		X
từ tạ		Vt
ổn đáng		Aa

ta-nanh		Np
khẩn cầu		Vt
heo hút		Aa
làm gì		X
cặm		Vit
gỗ dác		Nc, Ng
sinh dưỡng		Vit
từ điển bách khoa		Nc, Ng

tịch cốc		Vit

muối ăn		Nc, Ng
giá noãn		Nc
hát giặm		Nc
phân hội		Na
pụa		Na
giờ		Nu
quy phạm		Na
tử biệt sinh ly		X
nhem		Aa
thách		Vt
vần vò		Vt
kính mến		Vt
giao đấu		Vit
điển cố		Na
dầm		Nc, Vt
quân bưu		Nc, Ng
nương cậy		Vt
thẳng thừng		Aa

võ khí		Na

níu kéo		Vt
hạt beta		Na
hình thể		Ng
phi cảng		Nc, Ng
địa lý		Na
hái		Nc, Vt
theo đuôi		Vt
vừa đôi phải lứa		X
nhút		Nc
khiến		Vt
van vỉ		Vit
luân lí		Na
hiện diện		Vit, Vs, Vits
hiến dâng		Vt
dự án		Na
tiểu tiết		Na
nhũ tương		Nc
tiền khả thi		Aa
vịt		Nc, Ng
vô độ		Aa

tất tả		Aa
kaolin		Np
đô ngự sử		Na
hổng hểnh		Aa
đọn		Aa
khé		Aa
thốt nhiên		Jt
ông tơ hồng		Na
radar		Np
lịch sử		Na, Aa

nền móng		Nc, Ng
hotel		Np
giải toả		Vt
nghĩa cử		Na
đèo		Nc, Ng, Vt
sâu quảng		Nc, Ng
phiến quân		Nc, Ng
thinh thích		Vim
vị lợi		Aa

tu từ		Aa
ken két		Aa
hiền hậu		Aa
khứu giác		Nc, Ng
ớt		Nc, Ng
gì mà		X
ruổi rong		Vit
thi thoảng		Jr
xầu		Vt
ngứa gan		Vit

tướt		Na, Aa
léo nhéo		Vit
huỷ hoại		Vt
Mộc Tinh		Np
rếch		Aa
mộng triệu		Na
polymer		Np
pháp quy		Na
vịnh		Nc, Ng, Vt
phật ý		Vit

loạn xạ		Aa
điểm tâm		Vit
hoả công		Vit
tía		Na, Aa
gạn		Vt
hạch		Na, Vt
nguy ngập		Aa

nặng kí		Aa

ưu tú		Aa
loà xoà		Vit
giền cơm		Nc, Ng
lợi lộc		Na
thí bỏ		Vt
go		Nc
sinh viên		Nc, Ng
thông hiệu		Na

rũ rợi		Aa

lữ quán		Nc, Ng
đoảng vị		Aa
hứng chịu		Vta
hội sở		Nc, Ng
hẳn		Aa, I
giả dụ		Vt, Cc
thường thức		Na

mũ mãng		Nc, Ng
pop		Np

nhận diện		Vt
hoả táng		Vit
nội ô		Na
kiềm		Ng, Aa
hoạ		Na, Vt, Jd
quang minh		Aa
thảnh thơi		Aa

ngước		Vt

nước mềm		Nc, Ng
hữu ngạn		Nc
hiền thục		Aa
loại bỏ		Vt
cử sự		Vt
ích kỉ		Aa
mìn định hướng		Nc, Ng
trùng phùng		Vit
than củ		Nc, Ng
sơ chế		Vit

một vài		Nn
khoai tía		Nc, Ng
khép nép		Aa
mòng		Nc, Ng, Vt
lộc cộc		Aa
tầm sư học đạo		X
phụ vương		Nc, Ng
vi nấm		Na
quái		Na, Aa, I

mớn nước		Nc, Ng
lảnh lót		Aa
hoạt hoạ		Nc, Ng
khịt		Vt
dữ đòn		Aa
chứ lị		I
những tưởng		Vt

xà lỏn		Nc, Ng
thế đạo		Na

súc vật		Nc, Ng
hậu tập		Vit
hay biết		Vt
nhặm		Aa
kéo		Nc, Ng, Vt
húp		Vt, Aa
trây lười		Aa

rầm rì		Aa
rả rích		Aa
tuần lễ		Na
mật lệnh		Nc, Ng
dong dỏng		Aa
lổng chổng		Aa
farad		Np
chặm		Vt
thoát thân		Vit
thông thạo		Vt
toạ hưởng kì thành		Vit, Va
rưỡi		Na


khóc dở mếu dở		Vit
hợp nhất		Vt
mê li		Aa
đồ tể		Nc
phía		Nl
Tết dương lịch		Na
trông chừng		Vt
thị uỷ		Na
rắc rối		Aa

ngu dốt		Aa
đường sá		Nc, Ng
hoạnh hoẹ		Vt
khói lửa		Nc, Ng
chần		Vt
trang trải		Vt
thế giới quan		Na

từ hư		Na

tợn tạo		Aa
lo liệu		Vit
giới tửu		Vit
omega		Np
mào		Nc, Ng
đấng		Nc
giúi		Vt
thường phạm		Nc, Ng
tiều		Na
nhị thể		Na

nhận mặt		Vt
làng xóm		Nc, Ng
kì nhông		Nc, Ng
hòm hòm		Aa
lạm bổ		Vt
siêu việt		Aa
nhà thương		Nc, Ng

văn bia		Nc, Ng


neo đơn		Aa
giám sát		Nc, Vt
kinh động		Vit
nẻo		Ng
đính		Vt
kí giả		Nc, Ng
quay phim		Vit
tia tía		Aa
nguội		Na, Aa
ngũ hành		Na
tàn nhẫn		Aa
liền liền		Aa
khiếm diện		Vit
im ắng		Aa
kế cận		Aa
toán kinh tế		Na
sức dài vai rộng		X
tiên phong		Aa
vị tha		Aa
thầy		Nc, Ng

miên man		Aa
ge-la-tin		Np
khí sinh		Vit
nhập đề		Vit
gàu		Nc, Nu
gồng		Na, Vt
nguyệt phí		Na

nhớt kế		Nc
yên hà		Nc, Ng

macxit		Aa
lộ thiên		Aa
lặng lẽ		Aa
nỗ lực		Vt
đạo đức		Na
thợ cả		Nc, Ng
tranh khắc đồng		Nc, Ng

rét đài		Aa

quỵ luỵ		Vt
